area_name,longitude,latitude,area_type,county_name,region
Kawkhali,90.0592775,22.6261283,locality, Pirojpur,Barishal Division
Mathbaria,89.9592718,22.2875917,locality, Pirojpur,Barishal Division
Nazirpur,89.9608795,22.729367,locality, Pirojpur,Barishal Division
Nesarabad,90.1014418,22.7473418,locality, Pirojpur,Barishal Division
Pirojpur Sadar,89.9692183,22.5785847,locality, Pirojpur,Barishal Division
Zianagar,89.9643591,22.4839617,locality, Pirojpur,Barishal Division
Akhaura,91.2088835,23.8681221,locality, Brahmanbaria,Chattogram Division
Ashuganj,91.0103122,24.0369033,county, Brahmanbaria,Chattogram Division
Brahmanbaria Sadar,91.11228,23.97464,locality, Brahmanbaria,Chattogram Division
Bancharampur,90.8058623,23.7782766,county, Brahmanbaria,Chattogram Division
Bijoynagar,90.4117655,23.7331035,county, Brahmanbaria,Dhaka Division
Kasba,91.145893,23.7467153,locality, Brahmanbaria,Chattogram Division
Nabinagar,90.9699944,23.8846959,locality, Brahmanbaria,Chattogram Division
Nasirnagar,91.1946433,24.1928465,locality, Brahmanbaria,Chattogram Division
Sarail,91.1122605,24.074239,locality, Brahmanbaria,Chattogram Division
Alikadam,92.3185873,21.6588358,locality, Bandarban,Chattogram Division
Bandarban Sadar,92.2265364,22.1894207,locality, Bandarban,Chattogram Division
Lama,92.2061826,21.7641844,venue, Bandarban,Chattogram Division
Naikhongchhari,92.21946,22.19534,locality, Bandarban,Chattogram Division
Rowangchari,92.3354471,22.1786191,locality, Bandarban,Chattogram Division
Ruma,92.4092482,22.0492699,locality, Bandarban,Chattogram Division
Thanchi,92.4309578,21.8226132,locality, Bandarban,Chattogram Division
Chandpur Sadar,90.7111818,23.2252149,venue, Chandpur,Chattogram Division
Faridganj,90.7547958,23.1282942,locality, Chandpur,Chattogram Division
Haimchar,90.6627066,23.0958482,locality, Chandpur,Chattogram Division
Hajiganj,90.8526116,23.2512936,locality, Chandpur,Chattogram Division
Kachua,90.9500961,23.2253322,locality, Chandpur,Chattogram Division
Matlab (Dakshin),90.65433,23.22714,locality, Chandpur,Chattogram Division
Matlab (Uttar),90.7051919,23.3526113,locality, Chandpur,Chattogram Division
Shahrasti,90.950342,23.2290335,locality, Chandpur,Chattogram Division
Anwara,91.8723543,22.2331756,locality, Chittagong,Chattogram Division
Banskhali,91.8901436,21.9749104,locality, Chittagong,Chattogram Division
Boalkhali,91.9095044,22.3717421,locality, Chittagong,Chattogram Division
Chandanish,91.5,22.91667,locality, Chittagong,Chattogram Division
Fatikchari,91.8373695,22.846832,locality, Chittagong,Chattogram Division
Karnaphuli,91.8196048,22.2714803,locality, Chittagong,Chattogram Division
Lohagara,92.1079198,22.0442598,locality, Chittagong,Chattogram Division
Mirsharai,91.5733311,22.7766865,locality, Chittagong,Chattogram Division
Patiya,91.9776525,22.2990557,locality, Chittagong,Chattogram Division
Rangunia,92.0562412,22.4693402,locality, Chittagong,Chattogram Division
Raozan,91.9145292,22.5565841,locality, Chittagong,Chattogram Division
Sandwip,91.4848147,22.4864684,locality, Chittagong,Chattogram Division
Satkania,92.0576236,22.074247,locality, Chittagong,Chattogram Division
Sitakunda,91.6586606,22.61804,locality, Chittagong,Chattogram Division
Chakoria,92.0762874,21.7651864,venue, Cox'S Bazar,Chattogram Division
Cox's Bazar Sadar,92.01528,21.58389,venue, Cox'S Bazar,Chattogram Division
Kutubdia,91.8555338,21.8141916,locality, Cox'S Bazar,Chattogram Division
Moheshkhali,91.9553658,21.5398485,venue, Cox'S Bazar,Chattogram Division
Pekua,91.9648359,21.8124209,neighbourhood, Cox'S Bazar,Chattogram Division
Ramu,92.0996282,21.4454899,venue, Cox'S Bazar,Chattogram Division
Teknaf,92.298748,20.8684566,locality, Cox'S Bazar,Chattogram Division
Ukhiya,92.1441529,21.2182492,locality, Cox'S Bazar,Chattogram Division
Barura,91.0543359,23.3761885,locality, Cumilla,Chattogram Division
Brahmanpara,91.1071379,23.6148455,locality, Cumilla,Chattogram Division
Burichong,90.0,24.0,locality, Cumilla,
Chandina,91.0078123,23.4883756,locality, Cumilla,Chattogram Division
Chauddagram,91.3134925,23.224766,locality, Cumilla,Chattogram Division
Cumilla Sadar,90.0,24.0,locality, Cumilla,
Cumilla Sadar Daksin,90.0,24.0,locality, Cumilla,
Daudkandi,90.7152458,23.5373475,locality, Cumilla,Chattogram Division
Debidwar,90.9935327,23.5965294,locality, Cumilla,Chattogram Division
Homna,90.7801036,23.6824661,locality, Cumilla,Chattogram Division
Laksham,91.1520337,23.3558711,locality, Cumilla,Chattogram Division
Lalmai,91.1477387,23.3590503,locality, Cumilla,Chattogram Division
Meghna,90.6516405,23.5800565,locality, Cumilla,Dhaka Division
Monohorganj,91.0579522,23.162281,locality, Cumilla,Chattogram Division
Muradnagar,90.9265989,23.6410494,locality, Cumilla,Chattogram Division
Nangalkot,91.1981807,23.1695939,locality, Cumilla,Chattogram Division
Titas,91.1128143,23.9963768,locality, Cumilla,Chattogram Division
Chhagalniya,91.31667,22.96667,locality, Feni,Chattogram Division
Daganbhuiyan,91.3026932,22.9372022,locality, Feni,Chattogram Division
Amtali,90.2311484,22.132863,locality, Barguna,Barishal Division
Bamna,90.0938178,22.3088463,locality, Barguna,Barishal Division
Barguna Sadar,90.117813,22.1590839,locality, Barguna,Barishal Division
Betagi,90.1598377,22.4107982,locality, Barguna,Barishal Division
Patharghata,89.9687065,22.0372853,locality, Barguna,Barishal Division
Taltali,90.0731698,21.9375938,locality, Barguna,Barishal Division
Agailjhara,90.1587931,22.9718503,locality, Barishal,Barishal Division
Babuganj,90.312971,22.8332906,locality, Barishal,Barishal Division
Bakerganj,90.3322187,22.5403205,locality, Barishal,Barishal Division
Banaripara,90.159408,22.7834892,locality, Barishal,Barishal Division
Barishal Sadar,90.3711417,22.7046314,locality, Barishal,Barishal Division
Hizla,90.5591647,22.9599623,locality, Barishal,Barishal Division
Mehendiganj,90.5275969,22.823263,locality, Barishal,Barishal Division
Muladi,90.4108006,22.9132829,locality, Barishal,Barishal Division
Uzirpur,90.2494433,22.8212949,locality, Barishal,Barishal Division
Bhola-S,90.6405813,22.689095,locality, Bhola,Barishal Division
Borhanuddin,90.7286893,22.4863364,locality, Bhola,Barishal Division
Charfassion,90.7723049,22.4532472,locality, Bhola,Barishal Division
Daulatkhan,90.7460114,22.6014346,locality, Bhola,Barishal Division
Lalmohan,90.7334333,22.3410585,locality, Bhola,Barishal Division
Monpura,90.9575136,22.2006954,locality, Bhola,Barishal Division
Tazumuddin,90.8880721,22.452122,locality, Bhola,Barishal Division
Jhalokathi Sadar,90.1990344,22.6426168,country, Jhalokathi,Barishal Division
Kathalia,90.1228251,22.4019036,country, Jhalokathi,Barishal Division
Nalchity,90.2703307,22.6347382,country, Jhalokathi,Barishal Division
Rajapur,90.1435559,22.5704296,country, Jhalokathi,Barishal Division
Bauphal,90.5589509,22.4168127,locality, Patuakhali,Barishal Division
Dashmina,90.5622027,22.2832457,locality, Patuakhali,Barishal Division
Dumki,90.3876818,22.460267,locality, Patuakhali,Barishal Division
Galachipa,90.4106998,22.1252417,locality, Patuakhali,Barishal Division
Kalapara,90.2232185,21.9860055,locality, Patuakhali,Barishal Division
Mirzaganj,90.2209532,22.3552874,locality, Patuakhali,Barishal Division
Patuakhali Sadar,90.3310543,22.3589664,locality, Patuakhali,Barishal Division
Rangabali,90.3606949,21.6213967,locality, Patuakhali,Barishal Division
Bhandaria,90.0643776,22.487683,locality, Pirojpur,Barishal Division
Hathazari,91.8088601,22.5051095,locality, Chittagong,Chattogram Division
Feni Sadar,91.31667,22.96667,locality, Feni,Chattogram Division
Fulgazi,91.4326469,23.1554703,locality, Feni,Chattogram Division
Porshuram,91.31667,22.96667,, Feni,Chattogram Division
Sonagazi,91.4024581,22.8903051,locality, Feni,Chattogram Division
Dighinala,92.0667283,23.2426457,county, Khagrachari,Chattogram Division
Guimara,91.866344,22.9573218,county, Khagrachari,Chattogram Division
Khagrachari Sadar,91.97007,23.10787,county, Khagrachari,Chattogram Division
Laxmichari,91.97007,23.10787,county, Khagrachari,Chattogram Division
Mahalchari,91.97007,23.10787,county, Khagrachari,Chattogram Division
Manikchari,91.8371364,22.8473333,locality, Khagrachari,Chattogram Division
Matiranga,91.8684916,23.0444506,locality, Khagrachari,Chattogram Division
Panchari,91.8968907,23.2951052,locality, Khagrachari,Chattogram Division
Ramgarh,91.7376614,22.9963081,locality, Khagrachari,Chattogram Division
Komol Nagar,90.83333,22.91667,locality,  Laxmipur,Chattogram Division
 Laxmipur Sadar,90.83333,22.91667,locality,  Laxmipur,Chattogram Division
Raipur,90.83333,22.91667,locality,  Laxmipur,Chattogram Division
Ramganj,90.83333,22.91667,locality,  Laxmipur,Chattogram Division
Ramgati,90.83333,22.91667,locality,  Laxmipur,Chattogram Division
Begumganj,91.0978056,22.9431118,locality, Noakhali,Chattogram Division
Chatkhil,90.9723615,23.063094,locality, Noakhali,Chattogram Division
Companiganj,91.2791324,22.8321363,locality, Noakhali,Chattogram Division
Hatiya,91.1265769,22.2877297,locality, Noakhali,Chattogram Division
Kabir Hat,91.2030085,22.837151,venue, Noakhali,Chattogram Division
Noakhali Sadar,91.08945,22.81763,locality, Noakhali,Chattogram Division
Senbag,91.2316209,23.0272334,county, Noakhali,Chattogram Division
Sonaimuri,91.0977053,23.0350499,locality, Noakhali,Chattogram Division
Subarna Char,91.08945,22.81763,locality, Noakhali,Chattogram Division
Baghaichari,92.1948335,23.1678107,locality, Rangamati,Chattogram Division
Barkal,92.3743385,22.7257708,locality, Rangamati,Chattogram Division
Belaichari,92.19186,22.64317,locality, Rangamati,Chattogram Division
Juraichari,92.3811092,22.6739081,locality, Rangamati,Chattogram Division
Kaptai,92.2155989,22.5001158,locality, Rangamati,Chattogram Division
Kaukhali,92.0361334,22.6274266,locality, Rangamati,Chattogram Division
Langadu,92.1984214,22.9729867,locality, Rangamati,Chattogram Division
Nanniarchar,92.19186,22.64317,locality, Rangamati,Chattogram Division
Rajosthali,92.19186,22.64317,locality, Rangamati,Chattogram Division
Rangamati Sadar,92.19186,22.64317,locality, Rangamati,Chattogram Division
Dhamrai,90.2142069,23.9183476,locality, Dhaka,Dhaka Division
Dohar,90.1208791,23.6174015,locality, Dhaka,Dhaka Division
Keraniganj,90.3826441,23.7005013,locality, Dhaka,Dhaka Division
Nawabganj,90.1604757,23.6605166,locality, Dhaka,Dhaka Division
Savar,90.2587,23.8477,locality, Dhaka,Dhaka Division
Alfadanga,89.7038992,23.2915449,locality, Faridpur,Dhaka Division
Bhanga,89.98028,23.3848982,locality, Faridpur,Dhaka Division
Boalmari,89.681615,23.3854562,locality, Faridpur,Dhaka Division
Charbhadrasan,89.9929789,23.5644295,town, Faridpur,Dhaka Division
Faridpur Sadar,89.809185,23.5896818,locality, Faridpur,Dhaka Division
Madhukhali,89.6255061,23.5434411,locality, Faridpur,Dhaka Division
Nagarkanda,89.8902054,23.4170245,locality, Faridpur,Dhaka Division
Sadarpur,90.0251427,23.4708388,locality, Faridpur,Dhaka Division
Saltha,90.16667,23.41667,locality, Faridpur,Dhaka Division
Gazipur Sadar,90.4197487,23.9999521,county, Gazipur,Dhaka Division
Kaliakoir,90.2099253,24.0765991,county, Gazipur,Dhaka Division
Kaligonj,90.5665145,23.9197847,county, Gazipur,Dhaka Division
Kapasia,90.4025647,24.096839,locality, Gazipur,Dhaka Division
Sreepur,90.478198,24.1988756,county, Gazipur,Dhaka Division
Kasiani,89.83278,23.01018,locality, Gopalganj,Dhaka Division
Kotalipara,90.000354,22.9920084,locality, Gopalganj,Dhaka Division
Muksudpur,89.8696769,23.3146905,locality, Gopalganj,Dhaka Division
Tungipara,89.8990776,22.9053736,locality, Gopalganj,Dhaka Division
Austagram,91.104981,24.2743376,locality, Kishoreganj,Dhaka Division
Bajitpur,90.9518114,24.2157623,locality, Kishoreganj,Dhaka Division
Bhairab,90.9800203,24.056768,locality, Kishoreganj,Dhaka Division
Hossainpur,90.6553734,24.4168657,locality, Kishoreganj,Dhaka Division
Itna,91.1122564,24.5345969,locality, Kishoreganj,Dhaka Division
Karimganj,90.8690233,24.4651227,locality, Kishoreganj,Dhaka Division
Katiadi,90.7962218,24.2502962,locality, Kishoreganj,Dhaka Division
Kishoreganj Sadar,90.78291,24.43944,locality, Kishoreganj,Dhaka Division
Kuliarchar,90.9322312,24.1515066,locality, Kishoreganj,Dhaka Division
Mithamoin,91.0602879,24.4149439,locality, Kishoreganj,Dhaka Division
Nikli,90.9374993,24.3303482,locality, Kishoreganj,Dhaka Division
Pakundia,90.6805614,24.3287538,locality, Kishoreganj,Dhaka Division
Tarail,90.8912914,24.54923,locality, Kishoreganj,Dhaka Division
Kalkini,90.2217374,23.0781315,locality, Madaripur,Dhaka Division
Madaripur Sadar,90.2117735,23.1654132,locality, Madaripur,Dhaka Division
Rajoir,90.047407,23.2095025,locality, Madaripur,Dhaka Division
Shibchar,90.1697226,23.34728,locality, Madaripur,Dhaka Division
Daulatpur,89.833754,23.9686822,locality, Manikganj,Dhaka Division
Ghior,89.8719708,23.8995885,locality, Manikganj,Dhaka Division
Harirampur,89.9776541,23.752789,locality, Manikganj,Dhaka Division
Manikganj Sadar,89.9986742,23.8706167,locality, Manikganj,Dhaka Division
Saturia,90.0371913,23.9714343,locality, Manikganj,Dhaka Division
Shivalaya,89.7867127,23.8367476,locality, Manikganj,Dhaka Division
Singair,90.53459,23.5517,locality, Munshiganj,Dhaka Division
Gazaria,90.6523837,23.5576927,locality, Munshiganj,Dhaka Division
Lauhajong,90.53459,23.5517,locality, Munshiganj,Dhaka Division
Munshiganj Sadar,90.5329919,23.5475883,locality, Munshiganj,Dhaka Division
Sirajdikhan,90.3802202,23.5729062,county, Munshiganj,Dhaka Division
Sreenagar,90.2920935,23.5436923,county, Munshiganj,Dhaka Division
Tongibari,90.4659685,23.5102866,locality, Munshiganj,Dhaka Division
Araihazar,90.50298,23.61352,locality, Narayanganj,Dhaka Division
Bandar,90.5460281,23.6903225,neighbourhood, Narayanganj,Dhaka Division
Narayanganj Sadar,90.5027019,23.6199174,venue, Narayanganj,Dhaka Division
Rupganj,90.50298,23.61352,locality, Narayanganj,Dhaka Division
Sonargaon,90.5928322,23.6112598,locality, Narayanganj,Dhaka Division
Belabo,90.0,24.0,county, Narshingdi,
Monohardi,90.0,24.0,county, Narshingdi,
Narshingdi Sadar,90.0,24.0,county, Narshingdi,
Palash,90.0,24.0,county, Narshingdi,
Raipura,90.0,24.0,county, Narshingdi,
Shibpur,90.0,24.0,county, Narshingdi,
Baliakandi,89.5484979,23.6351881,locality, Rajbari,Dhaka Division
Goalanda,89.7589328,23.7200316,locality, Rajbari,Dhaka Division
Kalukhali,89.4804096,23.7681463,locality, Rajbari,Dhaka Division
Pangsha,89.4166377,23.7874278,locality, Rajbari,Dhaka Division
Rajbari Sadar,89.55,23.66667,locality, Rajbari,Dhaka Division
Bhedarganj,90.4454058,23.1967596,county, Shariatpur,Dhaka Division
Damuddya,90.35,23.21,locality, Shariatpur,Dhaka Division
Goshairhat,90.4521279,23.0987046,county, Shariatpur,Dhaka Division
Janjira,90.35,23.21,locality, Shariatpur,Dhaka Division
Naria,90.3526478,23.2363276,locality, Shariatpur,Dhaka Division
Shariatpur Sadar,90.35,23.21,locality, Shariatpur,Dhaka Division
Basail,90.0517494,24.2297459,locality, Tangail,Dhaka Division
Bhuapur,89.872814,24.4612546,locality, Tangail,Dhaka Division
Delduar,89.9683401,24.169158,locality, Tangail,Dhaka Division
Dhanbari,89.951882,24.6774082,locality, Tangail,Dhaka Division
Ghatail,89.9735137,24.4781769,locality, Tangail,Dhaka Division
Gopalpur,89.9282608,24.5638001,locality, Tangail,Dhaka Division
Kalihati,89.9948451,24.3873346,locality, Tangail,Dhaka Division
Madhupur,90.0289157,24.6071629,locality, Tangail,Dhaka Division
Mirzapur,90.097894,24.1042894,locality, Tangail,Dhaka Division
Nagarpur,89.8739848,24.0532552,locality, Tangail,Dhaka Division
Shakhipur,90.170991,24.3193763,locality, Tangail,Dhaka Division
Tangail Sadar,89.9148594,24.2512885,locality, Tangail,Dhaka Division
Bagerhat Sadar,89.7941813,22.6554781,locality, Bagerhat,Khulna Division
Chitalmari,89.7708204,22.6751248,locality, Bagerhat,Khulna Division
Fakirhat,89.711726,22.7751423,locality, Bagerhat,Khulna Division
Kachua,89.897238,22.5991038,locality, Bagerhat,Khulna Division
Mollahat,89.75,22.4,locality, Bagerhat,Khulna Division
Mongla,89.6416417,22.6585602,locality, Bagerhat,Khulna Division
Morrelganj,89.75,22.4,locality, Bagerhat,Khulna Division
Rampal,89.75,22.4,locality, Bagerhat,Khulna Division
Sharankhola,89.8409852,22.3104755,locality, Bagerhat,Khulna Division
Alamdanga,88.9447428,23.7656496,locality, Chuadanga,Khulna Division
Chuadanga Sadar,88.85291,23.64299,locality, Chuadanga,
Damurhuda,88.7627066,23.6142025,locality, Chuadanga,Khulna Division
Jibannagar,88.8213015,23.4224068,locality, Chuadanga,Khulna Division
Abhoynagar,90.0,24.0,country, Jashore,
Bagherpara,90.0,24.0,locality, Jashore,
Chowgacha,89.2095143,23.1665971,country, Jashore,Khulna Division
Jashore Sadar,90.0,24.0,, Jashore,
Jhikargacha,89.100577,23.1017711,locality, Jashore,Khulna Division
Keshabpur,90.0,24.0,locality, Jashore,
Monirampur,90.0,24.0,locality, Jashore,
Sarsha,90.0,24.0,locality, Jashore,
Harinakunda,89.16667,23.5,county, Jhenaidah,Khulna Division
Jhenaidah Sadar,89.1722211,23.5300032,county, Jhenaidah,Khulna Division
Kaliganj,89.1359615,23.4079255,county, Jhenaidah,Khulna Division
Kotchandpur,89.0054199,23.411486,county, Jhenaidah,Khulna Division
Moheshpur,88.9165637,23.3572255,county, Jhenaidah,Khulna Division
Shailkupa,89.2540681,23.6883293,locality, Jhenaidah,Khulna Division
Batiaghata,89.5180285,22.7403468,locality, Khulna,Khulna Division
Dacope,89.5095633,22.5531476,locality, Khulna,Khulna Division
Dighalia,89.6450042,23.121614,locality, Khulna,Khulna Division
Dumuria,89.417734,22.8063328,locality, Khulna,Khulna Division
Koira,89.25,22.91667,venue, Khulna,Khulna Division
Paikgacha,89.3189657,22.5893528,locality, Khulna,Khulna Division
Phultala,89.4745659,22.9735528,locality, Khulna,Khulna Division
Rupsa,89.7907734,22.6581303,locality, Khulna,Khulna Division
Terokhada,89.6683048,22.9402163,locality, Khulna,Khulna Division
Bheramara,88.9971604,24.0202276,locality, Kushtia,Khulna Division
Daulatpur,88.8731064,24.0006974,locality, Kushtia,Khulna Division
Khoksha,89.2835547,23.8063883,locality, Kushtia,Khulna Division
Kumarkhali,89.2413168,23.8615887,locality, Kushtia,Khulna Division
